id,eng_name,malay_name,family
1,Cordia subcordata Lam.,Agutud,
2,Acacia auriculiformis Benth,Akasia (Malay),
3,Illicium stapfii Merr.,"Ala (Iban, Sarawak), Bowlong (Kenyah, Sarawak)",
4,Myristica guatteriaefolia A.DC.,Alangan (Malay),
5,Phaleria perrottetiana (Decne.) F.Vill.,Aligpagi,
6,Kibara coriacea (Blume) Tulasne,Ambibiliu/ Labak (Dusun),
7,Anisophyllea disticha (Jack) Baillon,"Ambun-ambun (Kedayan), Mertama (Iban, Sarawak)",
8,Gironniera nervosa Planch.,"Ampas tebu (Malay), Hugot hugot (Dusun), Entebuluh (Iban)",
9,Gironniera parvifolia Planch.,"Ampas tebu (Malay), Ruazon (Dusun Kinabatangan)",
10,Arytera littoralis Blume,"Ampungit (Murut), Petinag (Sungei, Kinabatangan)",
11,Premna corymbosa Rottler & Willd.,Angan-angan,
12,Crudia reticulata Merr.,"Angar-angar (Malay), Maguwau (Dusun), selangapid, tangor-angor",
13,Polyalthia xanthopetala Merr.,Angilan hutan (Malay),
14,Guioa pubescens (Zoll. & Moritzi) Radlk.,"Angir manuk (Kedayan), Geronok (Dusun Tambunan)",
15,Pterocarpus indicus Willd.,Angsana/ Sena (Malay),
16,Madhuca mindanaensis (Merr.) Merr.,Antagiras (Dusun),
17,Gomphia serrata (Gaertn.) Kanis,"Antimagas gimbaan (Murut), Kuintalai (Kadazan), Ubarr manalad (Kelabit)",
18,"Avicennia marina (Forssk.) Vierh..
(syn = Avicennia alba Blume)",Api Api (Malay),
19,"Shirakiopsis indica (Willd.) Esser
(syn = Excoecaria indica (Willd.) Müll.Arg.)",Apid-apid (Dusun),
20,Lepisanthes tetraphylla (Vahl) Radlk.,Arit arit/ Bensisi (Dusun),
21,Casuarina equisetifolia L.,Aru/ Ru laut (Malay),
22,Sarcotheca rubrinervis Hallier f.,"Asam-asam (Dusun), Lampios (Kadazan)",
23,Dacryodes macrocarpa (King) H.J.Lam,Asam-asam (Malay),
24,Tamarindus indica L.,Asam jawa (Malay),
25,Mangifera quadrifida Jack,Asam kumbang (Malay),
26,Baccaurea parviflora (Müll.-Arg.),Asam tambun (Malay),
27,Hydnocarpus kunstleri Warb.,"Baban (Kadazan), Tambau.",
28,Goniothalamus dolichocarpus Merr.,Babangkau (Dusun),
29,Castanopsis motleyana King,Babayi (Rungus),
30,Memecylon myrsinoides Blume,Baduk baduk (Dusun),
31,Mangifera griffithii Hook.f.,"Bahab (Dusun), Raba amat (Iban)",
32,Rhizophora mucronata Lam.,Bakau kurap (Malay),
33,Pavetta petiolaris Wall.,Balak,
34,"Alphitonia incana (Roxb.) Teijsm. & Binn. ex Kurz
(syn = Alphitonia excelsa (Fenzl) Reiss. ex Endl.)","Balik angin (Malay), Pokudita (Dusun), Bako (Kelabit)",
35,Picrasma javanica Blume,Balimbing/ Panguban (Dusun),
36,Chionanthus polygamus (Roxb.) Kiew,"Balit tangan (Dusun), Kayu rambis",
37,Prainea frutescens Becc.,Balubi buyo (Kelabit),
38,Mangifera pajang Kosterm.,"Bambangan (Dusun), Embangan (Malay), Pangin (Kelabit)",
39,Harpullia arborea (Blanco) Radlk.,Bambuakat/ Tambuakat (Dusun),
40,Glochidion mindorense C.B.Robinson,"Bana (Bajau), Lapak kayu (Dusun)",
41,Ludekia borneensis Risd.,Bangkal,
42,Neonauclea longipedunculata Merr.,Bangkal,
43,Ochreinauclea maingayi (Hook.f.) Ridsd.,Bangkal kuning,
44,Nauclea subdita Steud.,Bangkal kuning?,
45,Neonauclea calycina (DC.) Merr.,"Bangkal Merah, Bilongos (Dusun Banggi), Tintap?",
46,Metadina trichotoma (Zoll. & Moritzi) Bakh.,"Bangkal, Mengkeniab, Mengkeniab Daun Besar",
47,Mitragyna speciosa (Korth.) Havil.,"Bangkal, Sapat",
48,Nauclea officinalis (Pierre ex Pitard) Merr. & Chun,Bangkal?,
49,Nauclea orientalis (L.) L.,Bangkal?,
50,Borneodendron aenigmaticum Airy Shaw,Bangkau-bangkau (Malay),
51,Parartocarpus venenosus (Zoll. & Moritzi) Becc.,Bangkil (Malay),
52,Rhizophora apiculata Blume,Bangkita (Malay),
53,Xylosma luzonensis Merr.,Bangkoai,
54,Adinandra collina Kobuski,Bangkou,
55,Ilex cymosa Blume,"Bangkulat (Kadazan), Tempulon (Dusun), Bubpuk (Kelabit)",
56,Ilex oppositifolia Merr.,Bangkulatan,
57,Ilex zygophylla Merr.,Bangkulatan,
58,Shorea multiflora (Burck) Symington,Banjutan (Malay),
59,Mastixia trichotoma Blume,"Bantis (Dusun), Medang kanigara",
60,Albizia pedicellata Baker ex Benth.,Barangang (Dusun),
